round,decode_step,position,step_energy_mj,active_requests,per_token_energy_mj
0,590,590,78276.0,25,3131.04
0,591,591,79265.9998,25,3170.64
0,592,592,78109.0001,24,3254.5417
0,593,593,78310.9998,24,3262.9583
0,594,594,79663.0002,24,3319.2917
0,595,595,79243.0,24,3301.7917
0,596,596,80008.9999,24,3333.7083
0,597,597,78011.9998,24,3250.5
0,598,598,81143.9998,24,3381.0
0,599,599,78133.0001,24,3255.5417
0,600,600,78589.0,24,3274.5417
0,601,601,79796.9999,24,3324.875
0,602,602,79784.0003,24,3324.3333
0,603,603,80627.9999,24,3359.5
0,604,604,78056.0,24,3252.3333
0,605,605,78405.9999,24,3266.9167
0,606,606,81439.0,24,3393.2917
0,607,607,77829.0,24,3242.875
0,608,608,78089.9998,24,3253.75
0,609,609,80039.0002,24,3334.9583
0,610,610,78376.9999,24,3265.7083
0,611,611,78113.0002,24,3254.7083
0,612,612,80252.0,24,3343.8333
0,613,613,78096.0001,24,3254.0
0,614,614,78139.0001,24,3255.7917
0,615,615,80080.0,24,3336.6667
0,616,616,78360.0001,24,3265.0
0,617,617,78795.0,24,3283.125
0,618,618,77337.9999,24,3222.4167
0,619,619,79608.0,24,3317.0
0,620,620,79995.9999,24,3333.1667
0,621,621,77824.9999,24,3242.7083
0,622,622,79560.0001,24,3315.0
0,623,623,80481.0001,24,3353.375
0,624,624,79158.0,24,3298.25
0,625,625,80234.0,24,3343.0833
0,626,626,79449.0002,24,3310.375
0,627,627,79807.0,24,3325.2917
0,628,628,78579.0,24,3274.125
0,629,629,79556.9998,24,3314.875
0,630,630,79576.9999,24,3315.7083
0,631,631,78098.0,24,3254.0833
0,632,632,78414.0,24,3267.25
0,633,633,81610.0,24,3400.4167
0,634,634,77155.9998,24,3214.8333
0,635,635,78689.0,24,3278.7083
0,636,636,81731.0001,24,3405.4583
0,637,637,79326.0,24,3305.25
0,638,638,79961.0003,24,3331.7083
0,639,639,78571.9999,24,3273.8333
0,640,640,82386.0,24,3432.75
0,641,641,77427.0002,24,3226.125
0,642,642,78877.9999,24,3286.5833
0,643,643,79757.0,24,3323.2083
0,644,644,78271.0001,24,3261.2917
0,645,645,79958.9999,24,3331.625
0,646,646,81691.0001,24,3403.7917
0,647,647,77826.0001,24,3242.75
0,648,648,78833.0001,24,3284.7083
0,649,649,77963.9999,24,3248.5
0,650,650,79555.9999,24,3314.8333
0,651,651,78028.0,24,3251.1667
0,652,652,77799.0,24,3241.625
0,653,653,79375.0,24,3307.2917
0,654,654,78068.0,24,3252.8333
0,655,655,78057.9998,24,3252.4167
0,656,656,79997.0,24,3333.2083
0,657,657,78555.0001,24,3273.125
0,658,658,81950.0,24,3414.5833
0,659,659,78324.0,24,3263.5
0,660,660,79229.9999,24,3301.25
0,661,661,81971.9999,24,3415.5
0,662,662,78631.0003,24,3276.2917
0,663,663,79436.0,24,3309.8333
0,664,664,79759.0001,24,3323.2917
0,665,665,78357.0,24,3264.875
0,666,666,78352.9998,24,3264.7083
0,667,667,79239.0001,24,3301.625
0,668,668,78647.0,24,3276.9583
0,669,669,78891.0002,24,3287.125
0,670,670,77857.9998,24,3244.0833
0,671,671,79876.0003,24,3328.1667
0,672,672,79299.0001,24,3304.125
0,673,673,80910.0002,24,3371.25
0,674,674,79578.0001,24,3315.75
0,675,675,78998.9998,24,3291.625
0,676,676,79875.9999,24,3328.1667
0,677,677,77243.0001,24,3218.4583
0,678,678,79211.9998,24,3300.5
0,679,679,78128.0,24,3255.3333
0,680,680,78376.0,24,3265.6667
0,681,681,78938.0001,24,3289.0833
0,682,682,78306.9999,24,3262.7917
0,683,683,79756.0002,24,3323.1667
0,684,684,78679.9999,24,3278.3333
0,685,685,78790.0001,24,3282.9167
0,686,686,81039.0,24,3376.625
0,687,687,78462.9998,24,3269.2917
0,688,688,78441.0001,24,3268.375
0,689,689,79778.0,24,3324.0833
0,690,690,78449.0001,24,3268.7083
0,691,691,78809.0,24,3283.7083
0,692,692,79887.0001,24,3328.625
0,693,693,80982.9998,24,3374.2917
0,694,694,80473.0,24,3353.0417
0,695,695,78797.9999,24,3283.25
0,696,696,79598.0002,24,3316.5833
0,697,697,80408.9999,24,3350.375
0,698,698,78673.0,24,3278.0417
0,699,699,78186.9999,24,3257.7917
0,700,700,80441.9999,24,3351.75
0,701,701,78490.0001,24,3270.4167
0,702,702,78822.0001,24,3284.25
0,703,703,80230.9999,24,3342.9583
0,704,704,77977.0001,24,3249.0417
0,705,705,78726.0001,24,3280.25
0,706,706,80317.0,24,3346.5417
0,707,707,78875.0001,24,3286.4583
0,708,708,78879.9999,24,3286.6667
0,709,709,80346.0001,24,3347.75
