position,mean_energy_mj,std_energy_mj,min_energy_mj,max_energy_mj,count,active_requests,step_energy_mj,phase
248,2668.0036,40.4514,2635.0345,2713.1429,3,30,80040.1067,decode
249,2682.926,101.6651,2597.5517,2795.3929,3,30,80487.7791,decode
250,2673.926,20.2727,2652.3333,2692.5517,3,30,80217.7792,decode
251,2696.2876,41.6163,2670.7667,2744.3104,3,30,80888.6272,decode
252,2608.0565,39.4985,2577.25,2652.5862,3,30,78241.6955,decode
253,2712.0958,39.896,2672.6897,2752.4643,3,30,81362.8728,decode
254,2687.4062,94.0027,2605.4828,2790.0357,3,30,80622.1847,decode
255,2705.9762,30.7502,2670.5,2725.0,3,30,81179.2857,decode
256,2678.5632,36.9159,2640.9667,2714.7586,3,30,80356.8957,decode
257,2676.9397,80.4436,2619.0,2768.7857,3,30,80308.1905,decode
258,2717.9054,77.5067,2646.7333,2800.4828,3,30,81537.1609,decode
259,2650.135,72.405,2597.9333,2732.7931,3,30,79504.0501,decode
260,2628.9695,49.2627,2576.8966,2674.8333,3,30,78869.0847,decode
261,2756.7478,115.1274,2664.6552,2885.8214,3,30,82702.4326,decode
262,2601.6628,40.021,2555.8621,2629.8929,3,30,78049.8827,decode
263,2676.0659,37.1582,2653.0,2718.931,3,30,80281.977,decode
264,2701.2901,104.9247,2585.8667,2790.8966,3,30,81038.7036,decode
265,2718.467,66.1613,2670.2414,2793.8929,3,30,81554.009,decode
266,2649.1735,48.4606,2594.8276,2687.8929,3,30,79475.2045,decode
267,2657.4437,32.7894,2625.4,2690.931,3,30,79723.3104,decode
268,2718.9573,49.1631,2669.0,2767.2857,3,30,81568.7192,decode
269,2722.786,102.8717,2604.3333,2789.7143,3,30,81683.5795,decode
270,2738.7131,37.4285,2696.0667,2766.1071,3,30,82161.3934,decode
271,2692.2736,93.3945,2596.4828,2783.0714,3,30,80768.2085,decode
272,2684.1244,74.1513,2628.5517,2768.3214,3,30,80523.7314,decode
273,2687.6359,49.4051,2650.2857,2743.6552,3,30,80629.0758,decode
274,2635.8721,36.088,2594.2333,2658.1071,3,30,79076.1632,decode
275,2666.2319,59.4434,2626.6429,2734.5862,3,30,79986.9573,decode
276,2693.9194,200.9846,2477.2414,2874.25,3,30,80817.5805,decode
277,2726.7296,175.6801,2623.1,2929.5714,3,30,81801.8867,decode
278,2746.9112,98.9474,2670.3667,2858.6429,3,30,82407.3366,decode
279,2720.4942,85.7733,2623.9667,2787.9643,3,30,81614.8267,decode
280,2639.882,30.9223,2604.2414,2659.5714,3,30,79196.4614,decode
281,2676.9141,153.2665,2500.5517,2777.8571,3,30,80307.4219,decode
282,2634.2141,67.8644,2573.4138,2707.4286,3,30,79026.4237,decode
283,2769.823,92.0024,2663.8667,2829.4643,3,30,83094.6888,decode
284,2733.5509,40.2819,2688.7931,2766.8929,3,30,82006.5262,decode
285,2651.8068,32.1985,2618.9655,2683.3214,3,30,79554.203,decode
286,2631.0773,74.9475,2545.3571,2684.2414,3,30,78932.3185,decode
287,2682.0973,132.3455,2580.5,2831.7586,3,30,80462.9196,decode
288,2682.3124,107.4849,2581.8276,2795.6429,3,30,80469.3711,decode
289,2657.4023,55.3378,2622.5,2721.2069,3,30,79722.0689,decode
290,2622.9369,139.3817,2463.9655,2724.1786,3,30,78688.1076,decode
291,2703.8556,66.9839,2629.1667,2758.6071,3,30,81115.6692,decode
292,2755.1892,133.6442,2671.1333,2909.2963,3,30,82655.6755,decode
293,2732.5286,88.9269,2652.2414,2828.1111,3,30,81975.8584,decode
294,2696.4482,78.0874,2627.6,2781.2963,3,30,80893.4457,decode
295,2732.0469,9.5219,2725.7407,2743.0,3,30,81961.4074,decode
296,2737.0797,101.8352,2633.7333,2837.3333,3,30,82112.3906,decode
297,2659.9262,67.2826,2595.6897,2729.8889,3,30,79797.7855,decode
298,2649.5117,138.953,2490.8276,2749.4074,3,30,79485.35,decode
299,2671.5251,58.5035,2637.0345,2739.0741,3,30,80145.7522,decode
300,2777.0009,32.462,2743.8621,2808.7407,3,30,83310.028,decode
301,2733.2373,108.6009,2657.7667,2857.7037,3,30,81997.1177,decode
302,2622.5425,90.3147,2521.8276,2696.3333,3,30,78676.2759,decode
303,2750.4506,4.9614,2746.0,2755.8,3,30,82513.5173,decode
304,2739.7966,122.5612,2611.7667,2856.037,3,30,82193.8989,decode
305,2671.4588,109.1529,2547.5172,2753.2593,3,30,80143.7649,decode
306,2712.0246,150.3373,2580.1035,2875.7037,3,30,81360.7382,decode
307,2805.5902,138.5799,2655.2333,2928.1923,3,30,84167.7047,decode
308,2831.0937,124.3629,2746.5,2973.8846,3,30,84932.8117,decode
309,2711.9952,138.6048,2575.4138,2852.5385,3,30,81359.8558,decode
310,2663.213,200.7123,2441.5517,2832.6539,3,30,79896.3891,decode
311,2729.8427,88.8952,2644.5667,2821.9615,3,30,81895.2822,decode
312,2746.6741,78.2453,2690.4667,2836.0385,3,30,82400.2237,decode
313,2773.3894,75.599,2708.9667,2856.6154,3,30,83201.6825,decode
314,2748.8643,127.8467,2644.7333,2891.5517,3,30,82465.9275,decode
315,2700.7459,121.531,2602.5172,2836.6538,3,30,81022.3775,decode
316,2749.0047,205.6121,2625.0345,2986.3461,3,30,82470.1397,decode
317,2808.6188,107.1259,2726.7,2929.8462,3,30,84258.565,decode
318,2754.6179,98.4088,2643.9333,2832.2308,3,30,82638.5376,decode
319,2683.1637,163.6776,2505.9655,2828.6923,3,30,80494.9117,decode
